nome_arquivo,hash_origem,hash_destino,status
SPI831-002.bam,563e190fb522c26fe8f994b8cb45c499,563e190fb522c26fe8f994b8cb45c499,Igual
SPI831-002.bam.bai,15a303d6dc49715bf05e52b15390ccd5,15a303d6dc49715bf05e52b15390ccd5,Igual
VNW718-001.bam,2fd1ec44b6e3ab91f62d392ffc5a56f8,2fd1ec44b6e3ab91f62d392ffc5a56f8,Igual
VNW718-001.bam.bai,afe92b6fc3984480a354ae813dd77f8d,afe92b6fc3984480a354ae813dd77f8d,Igual
VNW718-002.bam,8cec170173bd78d06742ad33e881332b,8cec170173bd78d06742ad33e881332b,Igual
VNW718-002.bam.bai,2acc3c6efaed272db2ced265ab9f7713,2acc3c6efaed272db2ced265ab9f7713,Igual
VTM630-001.bam,897de9cfaaeef06df24cce298f1dca3f,897de9cfaaeef06df24cce298f1dca3f,Igual
VTM630-001.bam.bai,770692275ed45d89f626df7786da7c67,770692275ed45d89f626df7786da7c67,Igual
VTM630-002.bam,ace8cb22d73b2a2709698918a537cbfc,ace8cb22d73b2a2709698918a537cbfc,Igual
VTM630-002.bam.bai,11db145daeaf92a8c209c01e3f41427c,11db145daeaf92a8c209c01e3f41427c,Igual
YDP121-001.bam,94e8edaea89cd5d53f92f606906cee60,94e8edaea89cd5d53f92f606906cee60,Igual
YDP121-001.bam.bai,9d2335d490a07b59b5432a4773e8d9a4,9d2335d490a07b59b5432a4773e8d9a4,Igual
YDP121-002.bam,743d9f16fcc02d8e501006016a341e0e,743d9f16fcc02d8e501006016a341e0e,Igual
YDP121-002.bam.bai,280964f2a67ba450a438283c8afa3da5,280964f2a67ba450a438283c8afa3da5,Igual
YLA605-001.bam,3b59280c435b9308a57d54aba0a45c9d,3b59280c435b9308a57d54aba0a45c9d,Igual
YLA605-001.bam.bai,f02abcea4defcf89591f53cf9a1f18ca,f02abcea4defcf89591f53cf9a1f18ca,Igual
YLA605-002.bam,8a8d842a1efc8624961122f901dcacac,8a8d842a1efc8624961122f901dcacac,Igual
